Characteristic,Sex,Race/ethnicity,Age,Year,"Rate (per 1,000 children)",Notes
Total,,,,1998,12.9,"Some 2008 through 2012 estimates for race/ethnicity were revised in from previously published figures; these data were updated to include resubmissions from states, and the rates were calculated using the 2012 child population estimates from the U.S. Census Bureau. The count of child victims is based on the number of investigations or assessments by Child Protective Services that found the child to be a victim of one or more types of maltreatment. The count of victims is, therefore, a report-based count and is a “duplicated count,” because an individual child may have been maltreated more than once. Substantiated maltreatment includes the dispositions of substantiated, indicated, or alternative response victim. Rates are based on the number of states submitting data to the National Child Abuse and Neglect Data System (NCANDS) each year; states include the District of Columbia and Puerto Rico. Not all states report in all years or in all data categories. Rates from 1998 to 1999 are based on aggregated data submitted by states; rates from 2000 to present are based on case-level data submitted by the states. The reporting year changed in 2003 from the calendar year to the Federal fiscal year. Additional technical notes are available in the annual reports entitled Child Maltreatment. These reports are available on the Internet at http://www.acf.hhs.gov/programs/cb/research-data-technology/statistics-research/child-maltreatment."
Total,,,,1999,11.8,"Some 2008 through 2012 estimates for race/ethnicity were revised in from previously published figures; these data were updated to include resubmissions from states, and the rates were calculated using the 2012 child population estimates from the U.S. Census Bureau. The count of child victims is based on the number of investigations or assessments by Child Protective Services that found the child to be a victim of one or more types of maltreatment. The count of victims is, therefore, a report-based count and is a “duplicated count,” because an individual child may have been maltreated more than once. Substantiated maltreatment includes the dispositions of substantiated, indicated, or alternative response victim. Rates are based on the number of states submitting data to the National Child Abuse and Neglect Data System (NCANDS) each year; states include the District of Columbia and Puerto Rico. Not all states report in all years or in all data categories. Rates from 1998 to 1999 are based on aggregated data submitted by states; rates from 2000 to present are based on case-level data submitted by the states. The reporting year changed in 2003 from the calendar year to the Federal fiscal year. Additional technical notes are available in the annual reports entitled Child Maltreatment. These reports are available on the Internet at http://www.acf.hhs.gov/programs/cb/research-data-technology/statistics-research/child-maltreatment."
Total,,,,2000,12.2,"Some 2008 through 2012 estimates for race/ethnicity were revised in from previously published figures; these data were updated to include resubmissions from states, and the rates were calculated using the 2012 child population estimates from the U.S. Census Bureau. The count of child victims is based on the number of investigations or assessments by Child Protective Services that found the child to be a victim of one or more types of maltreatment. The count of victims is, therefore, a report-based count and is a “duplicated count,” because an individual child may have been maltreated more than once. Substantiated maltreatment includes the dispositions of substantiated, indicated, or alternative response victim. Rates are based on the number of states submitting data to the National Child Abuse and Neglect Data System (NCANDS) each year; states include the District of Columbia and Puerto Rico. Not all states report in all years or in all data categories. Rates from 1998 to 1999 are based on aggregated data submitted by states; rates from 2000 to present are based on case-level data submitted by the states. The reporting year changed in 2003 from the calendar year to the Federal fiscal year. Additional technical notes are available in the annual reports entitled Child Maltreatment. These reports are available on the Internet at http://www.acf.hhs.gov/programs/cb/research-data-technology/statistics-research/child-maltreatment."
Total,,,,2001,12.5,"Some 2008 through 2012 estimates for race/ethnicity were revised in from previously published figures; these data were updated to include resubmissions from states, and the rates were calculated using the 2012 child population estimates from the U.S. Census Bureau. The count of child victims is based on the number of investigations or assessments by Child Protective Services that found the child to be a victim of one or more types of maltreatment. The count of victims is, therefore, a report-based count and is a “duplicated count,” because an individual child may have been maltreated more than once. Substantiated maltreatment includes the dispositions of substantiated, indicated, or alternative response victim. Rates are based on the number of states submitting data to the National Child Abuse and Neglect Data System (NCANDS) each year; states include the District of Columbia and Puerto Rico. Not all states report in all years or in all data categories. Rates from 1998 to 1999 are based on aggregated data submitted by states; rates from 2000 to present are based on case-level data submitted by the states. The reporting year changed in 2003 from the calendar year to the Federal fiscal year. Additional technical notes are available in the annual reports entitled Child Maltreatment. These reports are available on the Internet at http://www.acf.hhs.gov/programs/cb/research-data-technology/statistics-research/child-maltreatment."
Total,,,,2002,12.3,"Some 2008 through 2012 estimates for race/ethnicity were revised in from previously published figures; these data were updated to include resubmissions from states, and the rates were calculated using the 2012 child population estimates from the U.S. Census Bureau. The count of child victims is based on the number of investigations or assessments by Child Protective Services that found the child to be a victim of one or more types of maltreatment. The count of victims is, therefore, a report-based count and is a “duplicated count,” because an individual child may have been maltreated more than once. Substantiated maltreatment includes the dispositions of substantiated, indicated, or alternative response victim. Rates are based on the number of states submitting data to the National Child Abuse and Neglect Data System (NCANDS) each year; states include the District of Columbia and Puerto Rico. Not all states report in all years or in all data categories. Rates from 1998 to 1999 are based on aggregated data submitted by states; rates from 2000 to present are based on case-level data submitted by the states. The reporting year changed in 2003 from the calendar year to the Federal fiscal year. Additional technical notes are available in the annual reports entitled Child Maltreatment. These reports are available on the Internet at http://www.acf.hhs.gov/programs/cb/research-data-technology/statistics-research/child-maltreatment."
Total,,,,2003,12.2,"Some 2008 through 2012 estimates for race/ethnicity were revised in from previously published figures; these data were updated to include resubmissions from states, and the rates were calculated using the 2012 child population estimates from the U.S. Census Bureau. The count of child victims is based on the number of investigations or assessments by Child Protective Services that found the child to be a victim of one or more types of maltreatment. The count of victims is, therefore, a report-based count and is a “duplicated count,” because an individual child may have been maltreated more than once. Substantiated maltreatment includes the dispositions of substantiated, indicated, or alternative response victim. Rates are based on the number of states submitting data to the National Child Abuse and Neglect Data System (NCANDS) each year; states include the District of Columbia and Puerto Rico. Not all states report in all years or in all data categories. Rates from 1998 to 1999 are based on aggregated data submitted by states; rates from 2000 to present are based on case-level data submitted by the states. The reporting year changed in 2003 from the calendar year to the Federal fiscal year. Additional technical notes are available in the annual reports entitled Child Maltreatment. These reports are available on the Internet at http://www.acf.hhs.gov/programs/cb/research-data-technology/statistics-research/child-maltreatment."
Total,,,,2004,12,"Some 2008 through 2012 estimates for race/ethnicity were revised in from previously published figures; these data were updated to include resubmissions from states, and the rates were calculated using the 2012 child population estimates from the U.S. Census Bureau. The count of child victims is based on the number of investigations or assessments by Child Protective Services that found the child to be a victim of one or more types of maltreatment. The count of victims is, therefore, a report-based count and is a “duplicated count,” because an individual child may have been maltreated more than once. Substantiated maltreatment includes the dispositions of substantiated, indicated, or alternative response victim. Rates are based on the number of states submitting data to the National Child Abuse and Neglect Data System (NCANDS) each year; states include the District of Columbia and Puerto Rico. Not all states report in all years or in all data categories. Rates from 1998 to 1999 are based on aggregated data submitted by states; rates from 2000 to present are based on case-level data submitted by the states. The reporting year changed in 2003 from the calendar year to the Federal fiscal year. Additional technical notes are available in the annual reports entitled Child Maltreatment. These reports are available on the Internet at http://www.acf.hhs.gov/programs/cb/research-data-technology/statistics-research/child-maltreatment."
Total,,,,2005,12.1,"Some 2008 through 2012 estimates for race/ethnicity were revised in from previously published figures; these data were updated to include resubmissions from states, and the rates were calculated using the 2012 child population estimates from the U.S. Census Bureau. The count of child victims is based on the number of investigations or assessments by Child Protective Services that found the child to be a victim of one or more types of maltreatment. The count of victims is, therefore, a report-based count and is a “duplicated count,” because an individual child may have been maltreated more than once. Substantiated maltreatment includes the dispositions of substantiated, indicated, or alternative response victim. Rates are based on the number of states submitting data to the National Child Abuse and Neglect Data System (NCANDS) each year; states include the District of Columbia and Puerto Rico. Not all states report in all years or in all data categories. Rates from 1998 to 1999 are based on aggregated data submitted by states; rates from 2000 to present are based on case-level data submitted by the states. The reporting year changed in 2003 from the calendar year to the Federal fiscal year. Additional technical notes are available in the annual reports entitled Child Maltreatment. These reports are available on the Internet at http://www.acf.hhs.gov/programs/cb/research-data-technology/statistics-research/child-maltreatment."
Total,,,,2006,12.1,"Some 2008 through 2012 estimates for race/ethnicity were revised in from previously published figures; these data were updated to include resubmissions from states, and the rates were calculated using the 2012 child population estimates from the U.S. Census Bureau. The count of child victims is based on the number of investigations or assessments by Child Protective Services that found the child to be a victim of one or more types of maltreatment. The count of victims is, therefore, a report-based count and is a “duplicated count,” because an individual child may have been maltreated more than once. Substantiated maltreatment includes the dispositions of substantiated, indicated, or alternative response victim. Rates are based on the number of states submitting data to the National Child Abuse and Neglect Data System (NCANDS) each year; states include the District of Columbia and Puerto Rico. Not all states report in all years or in all data categories. Rates from 1998 to 1999 are based on aggregated data submitted by states; rates from 2000 to present are based on case-level data submitted by the states. The reporting year changed in 2003 from the calendar year to the Federal fiscal year. Additional technical notes are available in the annual reports entitled Child Maltreatment. These reports are available on the Internet at http://www.acf.hhs.gov/programs/cb/research-data-technology/statistics-research/child-maltreatment."
Total,,,,2007,10.6,"Some 2008 through 2012 estimates for race/ethnicity were revised in from previously published figures; these data were updated to include resubmissions from states, and the rates were calculated using the 2012 child population estimates from the U.S. Census Bureau. The count of child victims is based on the number of investigations or assessments by Child Protective Services that found the child to be a victim of one or more types of maltreatment. The count of victims is, therefore, a report-based count and is a “duplicated count,” because an individual child may have been maltreated more than once. Substantiated maltreatment includes the dispositions of substantiated, indicated, or alternative response victim. Rates are based on the number of states submitting data to the National Child Abuse and Neglect Data System (NCANDS) each year; states include the District of Columbia and Puerto Rico. Not all states report in all years or in all data categories. Rates from 1998 to 1999 are based on aggregated data submitted by states; rates from 2000 to present are based on case-level data submitted by the states. The reporting year changed in 2003 from the calendar year to the Federal fiscal year. Additional technical notes are available in the annual reports entitled Child Maltreatment. These reports are available on the Internet at http://www.acf.hhs.gov/programs/cb/research-data-technology/statistics-research/child-maltreatment. Data since 2007 are not directly comparable with prior years as differences may be partially attributed to changes in one state’s procedures for determination of maltreatment."
