Characteristic,Sex,Age,Race/ethnicity,Year,Percentage,Standard Error on Percentage,Note on Percent
Total - Ages 0–17,, 0–17,,2002,16.7,0.3,"The standard errors for this data are calculated using the generalized variance function. For more information, see “Standard Errors and Their Use” at ftp://ftp2.census.gov/library/publications/2014/demo/p60-249sa.pdf. For information on confidentiality protection, sampling errors, nonsampling errors, and definitions, see ftp://ftp2.census.gov/programs-surveys/cps/techdocs/cpsmar14.pdf. 
Individuals of Hispanic ethnicity may be of any race. "
Total - Ages 0–17,, 0–17,,2003,17.6,0.3,"The standard errors for this data are calculated using the generalized variance function. For more information, see “Standard Errors and Their Use” at ftp://ftp2.census.gov/library/publications/2014/demo/p60-249sa.pdf. For information on confidentiality protection, sampling errors, nonsampling errors, and definitions, see ftp://ftp2.census.gov/programs-surveys/cps/techdocs/cpsmar14.pdf. 
Individuals of Hispanic ethnicity may be of any race. "
Total - Ages 0–17,, 0–17,,2004,17.8,0.3,"For 2004, figures are revised to reflect a correction to the weights in the 2005 Annual Social and Economic Supplement (ASEC).
The standard errors for this data are calculated using the generalized variance function. 
For more information, see “Standard Errors and Their Use” at ftp://ftp2.census.gov/library/publications/2014/demo/p60-249sa.pdf. 
For information on confidentiality protection, sampling errors, nonsampling errors, and definitions, see ftp://ftp2.census.gov/programs-surveys/cps/techdocs/cpsmar14.pdf. 
Individuals of Hispanic ethnicity may be of any race."
Total - Ages 0–17,, 0–17,,2005,17.6,0.3,"The standard errors for this data are calculated using the generalized variance function. For more information, see “Standard Errors and Their Use” at ftp://ftp2.census.gov/library/publications/2014/demo/p60-249sa.pdf. For information on confidentiality protection, sampling errors, nonsampling errors, and definitions, see ftp://ftp2.census.gov/programs-surveys/cps/techdocs/cpsmar14.pdf. 
Individuals of Hispanic ethnicity may be of any race. "
Total - Ages 0–17,, 0–17,,2006,17.4,0.3,"The standard errors for this data are calculated using the generalized variance function. For more information, see “Standard Errors and Their Use” at ftp://ftp2.census.gov/library/publications/2014/demo/p60-249sa.pdf. For information on confidentiality protection, sampling errors, nonsampling errors, and definitions, see ftp://ftp2.census.gov/programs-surveys/cps/techdocs/cpsmar14.pdf. 
Individuals of Hispanic ethnicity may be of any race. "
Total - Ages 0–17,, 0–17,,2007,18,0.3,"The standard errors for this data are calculated using the generalized variance function. For more information, see “Standard Errors and Their Use” at ftp://ftp2.census.gov/library/publications/2014/demo/p60-249sa.pdf. For information on confidentiality protection, sampling errors, nonsampling errors, and definitions, see ftp://ftp2.census.gov/programs-surveys/cps/techdocs/cpsmar14.pdf. 
Individuals of Hispanic ethnicity may be of any race. "
Total - Ages 0–17,, 0–17,,2008,19,0.3,"The standard errors for this data are calculated using the generalized variance function. For more information, see “Standard Errors and Their Use” at ftp://ftp2.census.gov/library/publications/2014/demo/p60-249sa.pdf. For information on confidentiality protection, sampling errors, nonsampling errors, and definitions, see ftp://ftp2.census.gov/programs-surveys/cps/techdocs/cpsmar14.pdf. 
Individuals of Hispanic ethnicity may be of any race. "
Total - Ages 0–17,, 0–17,,2009,20.7,0.3,"The standard errors for this data are calculated using the generalized variance function. For more information, see “Standard Errors and Their Use” at ftp://ftp2.census.gov/library/publications/2014/demo/p60-249sa.pdf. For information on confidentiality protection, sampling errors, nonsampling errors, and definitions, see ftp://ftp2.census.gov/programs-surveys/cps/techdocs/cpsmar14.pdf. 
Individuals of Hispanic ethnicity may be of any race. "
Total - Ages 0–17,, 0–17,,2010,22,0.3,"Implementation of Census 2010-based population controls.
The standard errors for this data are calculated using the generalized variance function. 
For more information, see “Standard Errors and Their Use” at ftp://ftp2.census.gov/library/publications/2014/demo/p60-249sa.pdf. 
For information on confidentiality protection, sampling errors, nonsampling errors, and definitions, see ftp://ftp2.census.gov/programs-surveys/cps/techdocs/cpsmar14.pdf. 
Individuals of Hispanic ethnicity may be of any race. "
Total - Ages 0–17,, 0–17,,2011,21.9,0.3,"The standard errors for this data are calculated using the generalized variance function. For more information, see “Standard Errors and Their Use” at ftp://ftp2.census.gov/library/publications/2014/demo/p60-249sa.pdf. For information on confidentiality protection, sampling errors, nonsampling errors, and definitions, see ftp://ftp2.census.gov/programs-surveys/cps/techdocs/cpsmar14.pdf. 
Individuals of Hispanic ethnicity may be of any race. "
