Characteristic,Race/ethnicity,Sex,Parents,Year,Percentage,Margin of Error on Percentages,Note
Total - Two parents,,,Two parents,2001,,,"Beginning with March 2001, data are from the expanded CPS sample and use population controls based on Census 2000. 
Prior to 2007, CPS data identified only one parent on the child’s record. This meant that a second parent could only be identified if they 
were married to the first parent. In 2007, a second parent identifier was added to the CPS. This permits identification of two 
coresident parents, even if the parents are not married to each other. In this table, for 2007-2013, “two parents” reflects all 
children who have both a mother and father identified in the household, including biological, step, and adoptive parents. Before 2007, 
“mother only” and “father only” included some children who lived with two unmarried parents. Beginning in 2007, “mother only” and 
“father only” refer to children for whom only one parent in the household has been identified, whether biological, step, or adoptive."
Total - Two parents,,,Two parents,2002,,,"Beginning with March 2001, data are from the expanded CPS sample and use population controls based on Census 2000. 
Prior to 2007, CPS data identified only one parent on the child’s record. This meant that a second parent could only be identified if they 
were married to the first parent. In 2007, a second parent identifier was added to the CPS. This permits identification of two 
coresident parents, even if the parents are not married to each other. In this table, for 2007-2013, “two parents” reflects all 
children who have both a mother and father identified in the household, including biological, step, and adoptive parents. Before 2007, 
“mother only” and “father only” included some children who lived with two unmarried parents. Beginning in 2007, “mother only” and 
“father only” refer to children for whom only one parent in the household has been identified, whether biological, step, or adoptive."
Total - Two parents,,,Two parents,2003,,,"Beginning with March 2001, data are from the expanded CPS sample and use population controls based on Census 2000. 
Prior to 2007, CPS data identified only one parent on the child’s record. This meant that a second parent could only be identified if they 
were married to the first parent. In 2007, a second parent identifier was added to the CPS. This permits identification of two 
coresident parents, even if the parents are not married to each other. In this table, for 2007-2013, “two parents” reflects all 
children who have both a mother and father identified in the household, including biological, step, and adoptive parents. Before 2007, 
“mother only” and “father only” included some children who lived with two unmarried parents. Beginning in 2007, “mother only” and 
“father only” refer to children for whom only one parent in the household has been identified, whether biological, step, or adoptive."
Total - Two parents,,,Two parents,2004,,,"Beginning with March 2001, data are from the expanded CPS sample and use population controls based on Census 2000. 
Prior to 2007, CPS data identified only one parent on the child’s record. This meant that a second parent could only be identified if they 
were married to the first parent. In 2007, a second parent identifier was added to the CPS. This permits identification of two 
coresident parents, even if the parents are not married to each other. In this table, for 2007-2013, “two parents” reflects all 
children who have both a mother and father identified in the household, including biological, step, and adoptive parents. Before 2007, 
“mother only” and “father only” included some children who lived with two unmarried parents. Beginning in 2007, “mother only” and 
“father only” refer to children for whom only one parent in the household has been identified, whether biological, step, or adoptive."
Total - Two parents,,,Two parents,2005,,,"Beginning with March 2001, data are from the expanded CPS sample and use population controls based on Census 2000. 
Prior to 2007, CPS data identified only one parent on the child’s record. This meant that a second parent could only be identified if they 
were married to the first parent. In 2007, a second parent identifier was added to the CPS. This permits identification of two 
coresident parents, even if the parents are not married to each other. In this table, for 2007-2013, “two parents” reflects all 
children who have both a mother and father identified in the household, including biological, step, and adoptive parents. Before 2007, 
“mother only” and “father only” included some children who lived with two unmarried parents. Beginning in 2007, “mother only” and 
“father only” refer to children for whom only one parent in the household has been identified, whether biological, step, or adoptive."
Total - Two parents,,,Two parents,2006,,,"Beginning with March 2001, data are from the expanded CPS sample and use population controls based on Census 2000. 
Prior to 2007, CPS data identified only one parent on the child’s record. This meant that a second parent could only be identified if they 
were married to the first parent. In 2007, a second parent identifier was added to the CPS. This permits identification of two 
coresident parents, even if the parents are not married to each other. In this table, for 2007-2013, “two parents” reflects all 
children who have both a mother and father identified in the household, including biological, step, and adoptive parents. Before 2007, 
“mother only” and “father only” included some children who lived with two unmarried parents. Beginning in 2007, “mother only” and 
“father only” refer to children for whom only one parent in the household has been identified, whether biological, step, or adoptive."
Total - Two parents,,,Two parents,2007,70.7,0.4,"Beginning with March 2001, data are from the expanded CPS sample and use population controls based on Census 2000. 
Prior to 2007, CPS data identified only one parent on the child’s record. This meant that a second parent could only be identified if they 
were married to the first parent. In 2007, a second parent identifier was added to the CPS. This permits identification of two 
coresident parents, even if the parents are not married to each other. In this table, for 2007-2013, “two parents” reflects all 
children who have both a mother and father identified in the household, including biological, step, and adoptive parents. Before 2007, 
“mother only” and “father only” included some children who lived with two unmarried parents. Beginning in 2007, “mother only” and 
“father only” refer to children for whom only one parent in the household has been identified, whether biological, step, or adoptive."
Total - Two parents,,,Two parents,2008,69.9,0.5,"Beginning with March 2001, data are from the expanded CPS sample and use population controls based on Census 2000. 
Prior to 2007, CPS data identified only one parent on the child’s record. This meant that a second parent could only be identified if they 
were married to the first parent. In 2007, a second parent identifier was added to the CPS. This permits identification of two 
coresident parents, even if the parents are not married to each other. In this table, for 2007-2013, “two parents” reflects all 
children who have both a mother and father identified in the household, including biological, step, and adoptive parents. Before 2007, 
“mother only” and “father only” included some children who lived with two unmarried parents. Beginning in 2007, “mother only” and 
“father only” refer to children for whom only one parent in the household has been identified, whether biological, step, or adoptive."
Total - Two parents,,,Two parents,2009,69.8,0.5,"Beginning with March 2001, data are from the expanded CPS sample and use population controls based on Census 2000. 
Prior to 2007, CPS data identified only one parent on the child’s record. This meant that a second parent could only be identified if they 
were married to the first parent. In 2007, a second parent identifier was added to the CPS. This permits identification of two 
coresident parents, even if the parents are not married to each other. In this table, for 2007-2013, “two parents” reflects all 
children who have both a mother and father identified in the household, including biological, step, and adoptive parents. Before 2007, 
“mother only” and “father only” included some children who lived with two unmarried parents. Beginning in 2007, “mother only” and 
“father only” refer to children for whom only one parent in the household has been identified, whether biological, step, or adoptive."
Total - Two parents,,,Two parents,2010,69.4,0.5,"Beginning with March 2001, data are from the expanded CPS sample and use population controls based on Census 2000. 
Prior to 2007, CPS data identified only one parent on the child’s record. This meant that a second parent could only be identified if they 
were married to the first parent. In 2007, a second parent identifier was added to the CPS. This permits identification of two 
coresident parents, even if the parents are not married to each other. In this table, for 2007-2013, “two parents” reflects all 
children who have both a mother and father identified in the household, including biological, step, and adoptive parents. Before 2007, 
“mother only” and “father only” included some children who lived with two unmarried parents. Beginning in 2007, “mother only” and 
“father only” refer to children for whom only one parent in the household has been identified, whether biological, step, or adoptive."
