Characteristic,Type of violent crime,Sex of head of household,Race/ethnicity,Year,Percentage,Standard Error on Percentage,Note on Percent,Count,Standard Error on Count,Note on Count
Total,,,,2000,7.1,0.48,Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.,5019760,362090.8684,Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.
Total,,,,2001,6.2,0.4,Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.,4420020,297104.5730,Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.
Total,,,,2002,5.6,0.45,Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.,3998780,335455.6552,Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.
Total,,,,2003,5.8,0.41,Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.,4203810,318712.6222,Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.
Total,,,,2004,5,0.33,Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.,3644200,251933.3144,Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.
Total,,,,2005,4.9,0.37,Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.,3571030,283089.0716,Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.
Total,,,,2006,6.2,0.41,Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.,4560430,320711.1415,Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.
Total,,,,2007,5,0.41,Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.,3666690,313709.5838,Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.
Total,,,,2008,4.7,0.38,Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.,3444660,289859.6956,Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.
Total,,,,2009,4.4,0.41,Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.,3131610,306027.1398,Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.
Total,,,,2010,3.9,0.37,Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.,2763860,276585.2308,Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.
Total,,,,2011,4.2,0.35,Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.,2965030,256193.2831,Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.
Total,,,,2012,4.9,0.34,Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.,3515430,251420.6721,Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.
Total,,,,2013,4.2,0.4,Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.,2928050,294329.3641,Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.
Total,,,,2014,3.8,0.33,Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.,2602980,234990.0598,Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.
"Total - Violent crime, Male",Violent crime,Male,,2000,6.3,0.52,Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.,2449160,220500.3271,Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.
"Total - Violent crime, Male",Violent crime,Male,,2001,5.3,0.43,Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.,1995960,173050.7381,Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.
"Total - Violent crime, Male",Violent crime,Male,,2002,4.3,0.45,Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.,1598190,176397.7816,Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.
"Total - Violent crime, Male",Violent crime,Male,,2003,4.8,0.44,Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.,1791200,177001.6564,Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.
"Total - Violent crime, Male",Violent crime,Male,,2004,4.5,0.38,Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.,1660750,148354.9063,Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.
"Total - Violent crime, Male",Violent crime,Male,,2005,3.9,0.39,Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.,1414590,150411.2241,Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.
"Total - Violent crime, Male",Violent crime,Male,,2006,5.3,0.47,Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.,1827930,172287.6413,Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.
"Total - Violent crime, Male",Violent crime,Male,,2007,4.1,0.43,Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.,1403200,157307.4321,Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.
"Total - Violent crime, Male",Violent crime,Male,,2008,3.7,0.41,Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.,1216550,144529.2207,Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.
"Total - Violent crime, Male",Violent crime,Male,,2009,3.3,0.43,Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.,1068740,145284.2152,Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.
"Total - Violent crime, Male",Violent crime,Male,,2010,2.9,0.38,Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.,927400,127723.5969,Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.
"Total - Violent crime, Male",Violent crime,Male,,2011,3.5,0.39,Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.,1074090,126170.1711,Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.
"Total - Violent crime, Male",Violent crime,Male,,2012,4.1,0.39,Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.,1278190,128130.1611,Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.
"Total - Violent crime, Male",Violent crime,Male,,2013,3.1,0.41,Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.,952770,132836.3652,Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.
"Total - Violent crime, Male",Violent crime,Male,,2014,3.5,0.4,Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.,1041410,125289.5020,Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.
"Total - Violent crime, Female",Violent crime,Female,,2000,8.1,0.65,Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.,2570600,228040.5997,Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.
"Total - Violent crime, Female",Violent crime,Female,,2001,7.4,0.55,Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.,2424060,197530.4969,Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.
