Characteristic,Sex,Race/ethnicity,Year,Percentage,Count,Margin of Error on Percentages (for standard error divide by 1.645),Note
Total - Ages 18-24 ,,,2001,100,26773,,
Total - Ages 18-24 ,,,2002,100,27297,,
Total - Ages 18-24 ,,,2003,100,27404,,
Total - Ages 18-24 ,,,2004,100,27776,,
Total - Ages 18-24 ,,,2005,100,27993,,
Total - Ages 18-24 ,,,2006,100,27941,,
Total - Ages 18-24 ,,,2007,100,28384,,
Total - Ages 18-24 ,,,2008,100,28360,,
Total - Ages 18-24 ,,,2009,100,28660,,
Total - Ages 18-24 ,,,2010,100,29293,,
Total - Ages 18-24 ,,,2011,100,29798,,
Total - Ages 18-24 ,,,2012,100,30125,,
Total - Ages 18-24 ,,,2013,100,30004,,
Total - Ages 18-24 ,,,2014,100,30132,,
Total - Ages 18-24 ,,,2015,100,30016,,
Total - Child of householder,,,2001, 49.8 ,13328,1.1,
Total - Child of householder,,,2002,50.3,13717,0.8,
Total - Child of householder,,,2003,50.3,13783,0.8,
Total - Child of householder,,,2004,50.9,14150,0.8,
Total - Child of householder,,,2005,49.1,13743,0.8,
Total - Child of householder,,,2006,49.9,13943,0.8,
Total - Child of householder,,,2007,50.2,14244,0.8,
Total - Child of householder,,,2008,51.3,14547,0.8,
Total - Child of householder,,,2009,51.8,14853,0.8,
Total - Child of householder,,,2010,52.1,15271,0.8,
Total - Child of householder,,,2011,53.4,15914,0.8,
Total - Child of householder,,,2012,55.2,16633,0.8,
Total - Child of householder,,,2013,54.4,16333,0.8,
Total - Child of householder,,,2014,54.0,16271,1.3,
Total - Child of householder,,,2015,54.2,16282,0.9,
Total - Living with a spouse,,,2001, 13.9 ,3710,0.8,
Total - Living with a spouse,,,2002,13.1,3565,0.5,
Total - Living with a spouse,,,2003,12.4,3401,0.5,
Total - Living with a spouse,,,2004,12.2,3397,0.5,
Total - Living with a spouse,,,2005,12.2,3412,0.5,
Total - Living with a spouse,,,2006,12.0,3361,0.5,
Total - Living with a spouse,,,2007,11.3,3198,0.5,
Total - Living with a spouse,,,2008,10.3,2914,0.5,
Total - Living with a spouse,,,2009,10.4,2980,0.5,
Total - Living with a spouse,,,2010,9.5,2796,0.5,
Total - Living with a spouse,,,2011,8.8,2618,0.4,
Total - Living with a spouse,,,2012,8.4,2516,0.4,
Total - Living with a spouse,,,2013,8.0,2393,0.4,
Total - Living with a spouse,,,2014,8.2,2465,0.7,
Total - Living with a spouse,,,2015,7.4,2218,0.4,
Total - Living with an unmarried partner,,,2001, 6.9 ,1856,0.6,
Total - Living with an unmarried partner,,,2002,6.9,1887,0.4,
Total - Living with an unmarried partner,,,2003,7.0,1921,0.4,
Total - Living with an unmarried partner,,,2004,7.0,1941,0.4,
Total - Living with an unmarried partner,,,2005,7.4,2061,0.4,
Total - Living with an unmarried partner,,,2006,7.2,2001,0.4,
Total - Living with an unmarried partner,,,2007,10.6,2999,0.5,
Total - Living with an unmarried partner,,,2008,10.7,3020,0.5,
Total - Living with an unmarried partner,,,2009,9.4,2697,0.5,
Total - Living with an unmarried partner,,,2010,10.0,2937,0.5,
Total - Living with an unmarried partner,,,2011,10.1,2999,0.5,
Total - Living with an unmarried partner,,,2012,9.7,2916,0.5,
Total - Living with an unmarried partner,,,2013,9.8,2939,0.5,
Total - Living with an unmarried partner,,,2014,9.4,2840,0.7,
Total - Living with an unmarried partner,,,2015,10.1,3017,0.5,
Total - Living alone,,,2001, 5.3 ,1414,0.5,
Total - Living alone,,,2002,4.7,1278,0.3,
Total - Living alone,,,2003,5.6,1535,0.4,
Total - Living alone,,,2004,5.5,1526,0.4,
Total - Living alone,,,2005,5.4,1519,0.4,
Total - Living alone,,,2006,5.7,1589,0.4,
Total - Living alone,,,2007,5.6,1592,0.4,
Total - Living alone,,,2008,5.8,1647,0.4,
Total - Living alone,,,2009,5.3,1527,0.4,
Total - Living alone,,,2010,4.7,1362,0.3,
Total - Living alone,,,2011,4.9,1450,0.3,
Total - Living alone,,,2012,4.6,1377,0.3,
Total - Living alone,,,2013,5.1,1540,0.3,
Total - Living alone,,,2014,5.2,1563,0.6,
Total - Living alone,,,2015,4.7,1421,0.4,
Total - All other living arrangements,,,2001, 24.2 ,6466,1.0,
Total - All other living arrangements,,,2002,25.1,6850,0.7,
Total - All other living arrangements,,,2003,24.7,6764,0.7,
Total - All other living arrangements,,,2004,24.3,6762,0.7,
Total - All other living arrangements,,,2005,25.9,7259,0.7,
Total - All other living arrangements,,,2006,25.2,7047,0.7,
Total - All other living arrangements,,,2007,22.4,6352,0.7,
Total - All other living arrangements,,,2008,22.0,6231,0.7,
Total - All other living arrangements,,,2009,23.0,6603,0.7,
Total - All other living arrangements,,,2010,23.7,6927,0.7,
Total - All other living arrangements,,,2011,22.9,6817,0.7,
